BQI	DEPH	Latitude	Longitude	MNDEP	month	MS_CD	MXDEP	POSITION	SAMPLE_ID	Date	Institution	Station	Time	WB_ID	station_depth	WB_name	WATER_DISTRICT_NAME	WATER_TYPE_AREA	type_code	year	new_index	index_column
4.54779	40.0	63.60902	20.73685	40.0	6	WA82865410	40.0	63.61_20.74	71863b9e740b5e726395b418ed0cca4c	2013-06-13	Umeå Universitet	HO 1		SE633550-200700	40.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110651_SE633550-200700	110651
4.30895	32.0	63.64142	20.75395	32.0	6	WA82865410	32.0	63.64_20.75	e24e9dceb5a39fb920b3e388a120aa7a	2013-06-13	Umeå Universitet	HO 2		SE633550-200700	32.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110653_SE633550-200700	110653
7.38008	42.5	63.56738	20.72160	42.5	6	WA82865410	42.5	63.57_20.72	ccff1ca9b9fb4971c9b01e21fd3b42e4	2013-06-13	Umeå Universitet	HO 28		SE633550-200700	42.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110654_SE633550-200700	110654
4.15858	38.4	63.69048	20.78822	38.4	6	WA82865410	38.4	63.69_20.79	2f024f313a7d9ffc944f8e359c0985e6	2013-06-13	Umeå Universitet	HO 4		SE633550-200700	38.4	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110655_SE633550-200700	110655
5.40933	16.4	63.72888	20.85197	16.4	6	WA82865410	16.4	63.73_20.85	6abbf76c68d63da697f18a63f5aa3aae	2013-06-13	Umeå Universitet	HO 7		SE633550-200700	16.4	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110656_SE633550-200700	110656
4.28039	25.8	63.49860	19.92518	25.8	5	WA82865410	25.8	63.50_19.93	04c4107f6bcb121a6a24dea8054b533d	2013-05-30	Umeå Universitet	N 12		SE633550-200700	25.8	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110800_SE633550-200700	110800
7.04926	17.1	63.45122	19.76535	17.1	5	WA82865410	17.1	63.45_19.77	eac289bcc28cfaf42ea1b1dc51167821	2013-05-30	Umeå Universitet	N 5		SE633550-200700	17.1	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110804_SE633550-200700	110804
5.06437	44.8	63.43747	20.05000	44.8	5	WA82865410	44.8	63.44_20.05	f6cc13d5ab33979352166c17599f95ee	2013-05-29	Umeå Universitet	N 15		SE633550-200700	44.8	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110868_SE633550-200700	110868
4.2242	44.8	63.43747	20.05000	44.8	5	WA82865410	44.8	63.44_20.05	323e218dfe03156d4b9a8b4b613594f5	2013-05-29	Umeå Universitet	N 15		SE633550-200700	44.8	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110869_SE633550-200700	110869
5.04736	44.8	63.43747	20.05000	44.8	5	WA82865410	44.8	63.44_20.05	e66cba1b10028886a8e6aa1d402aac5c	2013-05-29	Umeå Universitet	N 15		SE633550-200700	44.8	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2013	110870_SE633550-200700	110870
